DataHora;Copo;Cidade;Entrega;Pagamento;Acomp1;Acomp2;Acomp3;Cobertura;IdPedido
2022-11-24 17:01:15;3;12;2;2;4;9;5;9;162
2022-05-12 20:32:49;5;5;1;3;3;3;9;3;163
2020-06-07 09:43:17;3;4;1;1;2;10;5;9;164
2023-02-18 09:46:27;3;5;2;4;11;11;2;2;165
2020-02-23 19:53:28;4;3;1;4;11;2;9;2;166
2022-02-22 12:57:43;4;2;2;1;10;1;3;10;167
2023-07-28 18:38:18;1;5;1;2;5;2;4;2;168
2022-04-28 17:51:41;3;5;1;4;10;7;1;10;169
2021-08-03 18:33:43;3;9;2;1;7;9;6;8;170
2022-04-21 14:10:25;2;2;1;2;9;7;8;5;171
2020-06-06 15:08:12;3;5;1;1;4;10;5;4;172
2021-02-11 14:29:10;5;4;2;3;11;1;1;8;173
2020-02-19 19:32:32;3;4;2;1;3;1;5;1;174
2022-07-06 19:42:21;1;17;2;3;9;5;2;7;175
2021-03-19 10:01:23;2;2;2;3;2;5;6;4;176
2021-10-28 09:41:12;4;11;2;3;6;9;5;8;177
2020-10-02 20:26:26;5;12;2;1;3;11;11;10;178
2021-03-12 19:25:38;2;10;1;4;11;7;1;9;179
2022-02-25 17:57:11;3;5;2;4;5;2;11;1;180
2022-03-30 10:00:50;1;14;1;1;9;6;9;6;181
2021-03-31 10:52:10;4;13;1;2;2;9;11;6;182
2021-09-10 19:00:26;2;11;2;3;9;9;4;3;183
2020-09-11 10:43:16;4;6;1;2;5;1;4;4;184
2022-12-02 17:12:35;2;17;2;1;3;3;1;8;185
2021-08-12 20:21:30;5;17;1;4;2;8;7;10;186
2020-07-17 11:01:22;5;2;2;3;3;9;6;8;187
2020-01-12 10:51:32;3;10;2;3;1;4;4;5;188
2021-11-30 16:49:12;1;4;2;3;2;5;11;3;189
2020-04-19 17:34:09;2;14;2;1;1;4;11;10;190
2020-03-14 09:20:46;4;3;1;2;10;7;6;5;191
2022-09-30 18:09:50;3;14;2;2;7;11;10;7;192
2020-01-03 11:04:40;2;4;2;3;8;6;2;2;193
2020-10-05 16:00:30;4;10;1;2;7;9;1;8;194
2023-01-27 10:33:16;5;9;2;2;2;1;10;3;195
2020-01-26 14:06:08;4;16;1;1;4;11;6;5;196
2023-07-16 12:02:56;3;1;2;1;10;9;3;7;197
2020-04-14 11:38:46;3;11;2;1;3;2;10;9;198
2020-02-24 20:56:42;4;14;2;3;3;5;6;9;199
2020-09-16 17:07:05;3;1;2;2;4;1;5;7;200
2022-07-30 10:05:57;4;16;1;1;5;11;10;1;201
2020-07-06 14:00:17;3;8;1;1;4;3;10;8;202
2022-02-28 11:23:09;5;2;2;4;10;8;2;2;203
2022-04-12 17:53:22;4;9;2;1;6;8;7;1;204
2022-05-28 18:26:23;4;7;1;4;2;1;7;2;205
2023-01-22 11:09:43;3;17;2;2;7;5;10;5;206
2021-04-20 12:47:47;1;16;2;2;8;8;9;4;207
2023-07-25 14:38:07;2;7;2;1;10;3;5;8;208
2020-03-30 09:24:43;2;2;1;3;9;2;4;4;209
2023-03-03 10:50:38;2;3;2;2;5;4;2;7;210
2021-06-09 18:20:58;1;17;1;1;6;11;1;6;211
2023-07-16 19:16:29;1;3;2;1;5;2;5;2;212
2022-03-25 12:35:07;3;16;2;3;5;4;9;3;213
2021-02-15 20:46:57;4;15;2;3;3;10;6;8;214
2021-03-02 16:26:29;3;1;1;2;1;10;9;10;215
2022-10-10 10:47:54;4;17;1;2;8;9;1;7;216
2023-10-30 09:29:43;5;6;2;4;5;3;3;5;217
2021-08-03 11:06:57;5;16;1;3;7;8;7;1;218
2021-03-26 18:52:35;5;5;2;4;11;7;10;8;219
2023-12-18 17:59:05;3;3;2;1;5;6;2;7;220
2020-04-06 11:39:09;4;3;2;4;3;6;8;8;221
2022-02-25 16:48:07;1;17;2;2;4;3;3;6;222
2021-09-13 18:26:37;4;12;1;4;10;4;2;2;223
2023-05-14 13:54:35;3;17;2;2;8;1;1;9;224
2021-05-13 10:31:07;4;8;2;3;9;7;10;1;225
2021-02-13 13:29:12;2;4;1;3;7;11;10;8;226
2020-01-07 17:51:55;5;15;2;4;5;2;4;1;227
2021-05-08 16:25:07;5;6;2;2;7;2;8;4;228
2021-11-24 13:08:07;5;12;2;4;9;8;6;5;229
2020-09-22 13:29:59;4;15;2;4;8;10;11;2;230
2022-10-13 09:37:40;2;15;1;4;1;4;10;2;231
2020-08-22 09:47:16;5;16;1;3;7;7;1;5;232
2021-12-30 16:43:25;4;1;1;1;5;4;4;10;233
2020-11-16 13:41:56;1;17;1;2;6;1;10;10;234
2021-03-19 10:25:55;2;8;2;1;6;1;2;8;235
2023-03-15 20:51:33;2;15;2;3;11;8;8;6;236
2021-05-24 16:19:54;5;17;1;4;1;6;9;6;237
2023-01-31 14:21:48;2;13;1;4;3;4;9;8;238
2022-07-05 12:10:45;1;6;2;4;3;5;4;4;239
2020-07-04 11:24:05;5;5;2;4;1;2;2;3;240
2022-06-17 15:59:15;5;17;2;3;2;2;8;6;241
2023-12-18 14:00:20;4;15;2;1;3;8;6;5;242
2022-03-03 17:19:58;3;5;1;1;4;2;6;4;243
2020-05-18 09:42:05;3;2;1;4;1;9;7;9;244
2022-04-20 19:34:00;2;8;1;1;8;11;1;6;245
2022-12-17 16:31:55;4;10;2;4;9;3;11;7;246
2021-08-25 10:33:39;4;2;1;3;1;6;6;3;247
2022-03-25 14:11:21;5;7;1;4;10;1;10;9;248
2022-10-13 20:12:17;1;2;2;2;3;5;1;6;249
2020-07-07 12:21:43;5;13;2;2;6;11;7;7;250
2021-04-08 09:23:10;5;7;2;4;6;10;1;8;251
2021-11-07 20:33:45;4;7;2;1;5;10;6;5;252
2023-05-27 20:50:53;2;3;1;2;8;1;9;8;253
2020-05-30 17:25:13;2;2;2;1;7;2;5;5;254
2022-02-09 16:16:42;1;16;1;2;11;1;2;2;255
2021-04-13 11:59:24;3;13;2;4;6;4;9;10;256
2023-08-12 15:11:43;3;9;2;1;6;9;7;10;257
2022-01-07 13:20:48;3;16;2;3;9;6;10;4;258
2023-09-20 16:41:17;4;17;2;3;1;11;11;5;259
2023-11-16 10:19:31;4;3;1;4;10;4;1;6;260
2023-08-31 09:31:28;4;12;1;1;10;4;10;7;261
2022-11-20 13:11:57;5;2;2;2;4;5;11;8;262
2021-03-02 19:17:29;4;2;1;2;1;1;10;7;263
2021-02-03 16:41:52;1;7;1;4;7;8;6;8;264
2021-11-11 14:34:17;3;15;1;3;3;6;8;1;265
2022-12-22 20:16:08;4;8;2;2;9;7;8;6;266
2021-10-18 12:43:56;3;5;1;4;8;9;8;2;267
2020-06-11 12:19:43;4;3;2;2;11;9;5;9;268
2020-04-15 13:40:22;4;17;1;3;7;2;4;10;269
2021-02-05 15:27:14;5;15;2;1;2;8;10;3;270
2020-01-26 19:51:39;2;5;1;2;6;5;10;3;271
2023-03-09 14:35:03;2;9;2;1;7;8;10;3;272
2021-03-25 18:22:45;3;15;1;3;5;10;4;4;273
2022-04-04 11:16:54;5;6;1;3;3;7;9;9;274
2020-01-20 12:56:29;2;13;2;3;11;2;8;4;275
2020-05-22 09:10:36;2;2;2;1;11;1;1;7;276
2022-05-09 12:44:49;2;5;2;4;5;4;6;5;277
2023-01-10 15:10:14;1;1;2;2;1;10;9;3;278
2021-04-25 11:59:58;5;14;2;2;6;3;7;7;279
2023-05-21 19:48:21;1;17;1;3;6;5;5;2;280
2023-09-05 16:57:21;3;10;1;2;11;2;11;8;281
2021-01-01 19:34:13;4;3;2;1;3;9;6;5;282
2021-01-01 10:46:06;5;13;2;3;6;8;8;3;283
2023-03-12 14:17:33;1;15;2;3;9;5;9;9;284
2021-11-30 14:10:11;3;14;2;4;5;5;10;2;285
2022-01-10 14:42:51;1;14;1;2;11;8;8;7;286
2020-10-02 16:32:39;1;14;2;1;8;5;2;2;287
2020-07-27 15:26:43;1;17;2;3;8;9;1;6;288
2020-07-28 09:55:10;4;10;2;2;8;2;3;6;289
2021-11-12 09:35:12;4;5;2;3;6;9;11;10;290
2023-03-21 12:32:27;2;17;2;4;4;1;7;5;291
2022-10-04 14:04:26;2;13;2;3;2;1;10;6;292
2023-05-21 15:30:12;1;11;2;4;4;3;4;5;293
2022-12-28 11:31:03;2;17;1;1;6;9;1;6;294
2021-01-22 10:57:00;5;15;2;2;6;2;8;6;295
2021-07-09 16:05:38;3;11;1;1;7;10;7;9;296
2020-02-24 17:33:17;3;6;2;3;11;6;3;1;297
2020-01-25 20:34:18;4;15;1;3;3;6;1;6;298
2023-02-08 10:55:39;4;15;1;4;10;3;10;5;299
2023-03-08 11:27:26;5;3;1;2;11;2;11;4;300
2023-10-28 16:29:59;5;1;1;2;3;6;5;9;301
2020-04-26 10:18:22;4;11;2;4;1;6;9;5;302
2023-01-29 10:47:43;2;13;2;4;4;2;9;8;303
2020-03-21 14:35:42;4;16;1;4;8;3;8;2;304
2021-11-13 13:29:14;4;16;1;1;11;1;1;4;305
2021-04-24 13:23:46;1;13;1;3;6;7;10;8;306
2020-01-13 13:00:29;3;1;2;1;4;3;10;10;307
2021-03-07 10:57:40;3;3;2;3;3;6;5;1;308
2023-02-13 14:32:48;5;15;1;1;9;11;9;3;309
2023-05-14 15:02:39;1;12;1;3;7;11;6;3;310
2021-09-06 18:38:58;1;5;1;2;3;3;8;9;311
2021-02-04 09:07:25;5;15;1;2;11;5;9;3;312
2021-07-12 13:14:46;3;6;1;4;10;3;11;9;313
2021-09-09 12:57:24;3;9;1;2;8;5;3;9;314
2021-05-28 15:32:20;5;4;1;3;1;11;4;8;315
2020-11-17 11:48:35;2;2;1;3;4;1;6;1;316
2023-08-28 16:10:25;3;2;1;2;5;4;10;6;317
2020-08-15 11:14:01;2;12;1;1;1;8;6;8;318
2020-06-09 11:07:53;2;2;1;3;7;3;10;6;319
2020-09-19 11:40:26;3;9;1;2;10;1;9;7;320
2022-11-18 12:19:04;3;13;2;2;1;6;10;2;321
2022-08-14 12:02:16;3;5;2;3;11;8;9;7;322
2020-11-27 09:09:29;5;13;1;2;7;6;10;2;323
2022-04-26 11:39:00;4;13;2;4;2;3;8;3;324
2023-07-03 09:42:56;2;2;1;4;4;11;5;8;325
2022-08-26 09:19:51;5;1;2;4;7;10;6;3;326
2020-09-12 16:25:58;3;17;1;1;2;6;8;4;327
2023-09-06 11:58:20;2;4;2;1;9;3;3;2;328
2022-05-23 11:36:15;2;13;1;1;3;6;7;1;329
2021-11-07 15:48:43;1;11;1;4;8;11;3;5;330
2022-11-12 17:19:02;5;3;1;2;7;7;10;8;331
2020-10-30 19:03:07;2;7;2;1;6;8;8;8;332
2021-09-26 11:32:31;3;16;1;3;4;3;1;4;333
2023-01-31 09:27:28;3;13;1;3;5;2;6;1;334
2023-07-13 20:41:03;1;8;1;3;2;3;4;8;335
2022-02-22 11:28:04;3;3;1;4;6;9;7;5;336
2021-05-14 09:13:44;1;15;1;2;11;6;2;3;337
2023-12-12 15:47:28;4;13;1;2;6;6;7;2;338
2020-09-12 10:28:30;3;13;2;1;7;10;8;7;339
2022-12-23 14:29:00;4;6;1;1;7;10;2;1;340
2021-04-25 17:40:11;3;10;1;1;11;11;2;5;341
2021-04-23 18:44:38;2;2;2;2;1;2;5;9;342
2021-11-05 11:53:44;4;9;2;2;7;2;3;9;343
2022-05-09 12:15:09;2;9;1;1;5;6;5;6;344
2022-01-29 09:09:15;2;16;2;1;8;2;10;5;345
2021-10-24 17:25:36;2;10;1;1;5;6;5;9;346
2021-12-01 11:53:55;5;1;2;1;8;1;11;9;347
2020-03-02 20:56:59;2;17;1;3;8;7;3;4;348
2023-10-31 15:55:47;3;11;2;1;7;2;10;6;349
2020-05-18 19:00:17;4;17;2;4;5;7;3;8;350
2022-04-10 12:06:50;1;2;2;1;4;6;3;8;351
2023-10-21 12:09:18;4;8;1;2;11;5;5;10;352
2022-05-16 18:11:04;1;11;1;3;11;1;3;2;353
2022-05-25 16:06:11;3;4;2;4;9;10;5;5;354
2021-07-16 15:03:23;2;7;2;1;11;5;7;10;355
2023-06-07 16:50:58;2;17;2;1;6;6;11;5;356
2022-09-13 17:28:48;5;10;2;3;8;7;1;6;357
2023-12-28 20:45:57;5;5;2;4;8;2;5;6;358
2022-05-12 16:11:05;5;17;2;3;8;3;11;5;359
2022-12-17 17:20:34;4;13;1;1;3;4;9;8;360
2021-11-21 13:34:09;4;3;1;1;4;6;7;6;361
2020-10-27 17:32:40;5;16;2;1;1;1;2;2;362
2021-04-01 14:00:15;1;12;2;1;5;11;4;9;363
2021-05-29 14:40:49;3;8;2;3;1;10;7;10;364
2021-04-04 19:24:49;3;5;2;4;7;3;10;3;365
2022-02-04 09:09:29;4;3;1;2;10;5;4;8;366
2022-05-13 17:51:03;2;6;2;1;4;3;1;6;367
2021-12-28 13:22:36;3;6;2;2;9;3;3;2;368
2020-06-26 09:09:07;4;12;2;4;9;7;6;9;369
2022-10-16 12:00:00;3;14;1;3;5;1;10;6;370
2022-11-17 19:39:50;4;8;1;4;1;10;1;7;371
2022-09-12 18:20:02;4;4;2;2;8;4;9;7;372
2021-05-03 16:16:28;1;2;1;4;4;9;6;10;373
2023-11-22 14:27:28;4;10;2;1;4;4;2;9;374
2022-12-20 13:55:44;1;4;2;3;4;5;2;1;375
2023-05-22 20:24:52;2;14;1;1;1;2;9;5;376
2023-08-23 10:53:37;2;12;2;3;4;3;10;7;377
2022-01-31 15:53:04;5;15;1;4;3;11;10;2;378
2020-08-04 11:05:25;4;17;2;3;10;2;9;8;379
2021-06-18 16:33:26;1;13;1;3;11;6;1;6;380
2022-06-20 17:21:24;3;16;1;4;10;2;2;8;381
2023-06-20 16:33:47;5;8;2;1;1;4;11;1;382
2022-10-20 17:25:42;5;11;1;3;1;11;3;1;383
2020-07-06 18:21:32;5;7;1;2;7;6;2;10;384
2023-01-27 09:02:47;4;3;2;1;4;11;3;7;385
2020-08-05 16:12:48;5;1;1;2;6;8;2;6;386
2021-06-28 19:30:32;4;5;2;3;4;2;1;10;387
2020-01-20 14:12:57;4;1;1;1;8;5;8;1;388
2022-10-16 12:18:21;2;3;1;2;10;5;10;7;389
2022-06-09 18:05:03;4;12;2;3;5;8;3;9;390
2022-08-23 10:12:12;5;8;2;4;8;1;5;8;391
2020-12-09 13:16:36;4;12;1;2;11;10;7;2;392
2023-07-22 18:14:45;2;5;2;4;1;6;10;3;393
2023-06-24 20:33:06;2;12;1;4;3;10;2;7;394
2023-07-28 17:17:00;1;7;1;2;4;1;8;1;395
2022-01-05 10:20:28;1;16;2;4;9;10;10;9;396
2021-12-06 13:44:39;1;13;2;3;2;2;3;9;397
2020-07-22 20:20:12;3;10;2;3;3;7;10;4;398
2023-03-23 11:25:36;1;1;2;3;10;6;10;2;399
2022-05-01 11:35:44;4;15;1;1;8;4;1;9;400
2023-02-17 09:10:56;2;17;2;4;6;8;2;4;401
2020-01-08 20:15:16;1;1;1;1;11;7;10;7;402
2020-02-18 19:11:47;1;15;2;2;1;5;6;6;403
2020-02-04 13:03:39;5;4;2;3;5;8;5;5;404
2020-08-04 13:25:52;2;12;2;1;1;4;6;2;405
2023-12-14 17:50:00;2;9;2;3;7;1;8;8;406
2022-02-13 12:00:03;1;8;1;1;10;1;8;8;407
2021-01-25 16:47:43;4;3;2;1;8;6;1;10;408
2022-02-04 16:29:17;3;4;1;1;4;2;3;6;409
2020-09-11 17:20:42;4;14;2;4;3;1;5;8;410
2020-08-08 12:39:59;4;14;1;2;11;8;7;8;411
2022-01-13 18:49:51;4;4;2;2;5;8;4;1;412
2022-08-20 15:11:47;4;1;2;2;6;1;7;6;413
2022-12-24 16:08:18;1;16;1;4;3;6;11;2;414
2023-08-24 16:06:12;3;1;1;3;2;9;10;2;415
2020-04-01 09:20:43;2;7;2;2;7;8;1;4;416
2021-07-17 11:48:22;3;8;1;2;3;5;3;8;417
2021-09-11 19:33:42;2;11;1;1;10;2;7;7;418
2021-03-30 19:36:49;1;1;2;4;11;2;9;2;419
2020-07-05 16:29:12;5;9;1;4;9;2;3;9;420
2022-07-12 17:40:45;2;11;1;4;10;5;4;3;421
2022-05-12 15:09:53;3;13;1;4;6;6;10;1;422
2021-09-13 12:54:09;2;9;1;2;11;8;3;10;423
2023-05-15 16:34:03;1;15;2;4;10;1;5;8;424
2021-10-10 16:37:42;3;1;1;3;3;2;5;8;425
2020-11-22 20:53:57;5;8;1;4;1;2;4;5;426
2021-11-17 12:08:38;5;14;1;3;2;2;4;3;427
2022-07-12 10:07:36;2;16;2;2;10;2;2;6;428
2020-08-08 15:58:17;2;17;1;4;10;3;3;5;429
2023-01-09 11:05:24;3;14;1;1;11;4;5;7;430
2023-01-15 18:11:50;5;9;1;2;9;8;10;10;431
2023-06-04 10:05:32;3;1;1;2;10;1;4;10;432
2021-03-08 17:36:00;4;2;2;3;8;8;6;10;433
2022-10-11 10:39:57;3;4;2;1;5;4;6;7;434
2022-02-17 14:25:09;5;10;2;1;9;2;6;4;435
2022-07-31 14:41:44;5;15;1;1;5;3;10;8;436
2023-10-08 13:50:00;5;6;2;4;9;1;5;6;437
2022-03-24 11:05:21;4;1;1;2;4;3;9;8;438
2022-02-11 20:29:13;4;10;2;1;1;2;9;3;439
2023-07-29 19:37:25;2;9;2;2;5;6;9;4;440
2023-11-22 10:37:15;2;15;1;1;6;9;6;10;441
2020-07-21 16:07:49;5;16;2;4;7;1;6;8;442
2021-08-26 20:14:26;2;4;2;1;3;1;10;10;443
2021-03-01 18:18:31;4;16;1;2;11;3;2;5;444
2023-11-12 19:37:09;1;1;2;4;9;10;9;3;445
2020-06-12 11:52:36;5;11;2;4;5;9;8;5;446
2023-08-30 15:47:39;5;8;2;2;2;8;3;4;447
2023-12-03 12:36:42;5;5;1;3;9;1;10;9;448
